Binomial,bm_g,bs_cm,,,,
Aerodramus_spodiopygius_assimilis,8.20,0.91,,,,
Aerodramus_spodiopygius_chillagoensis,12.10,1.08,,,,
Aerodramus_spodiopygius_leucopygia,8.50,0.93,,,,
Aerodramus_terraereginae,12.44,1.09,,,,
Aerodramus_unicolor,11.35,1.05,,,,
Aerodramus_vanikorensis,10.68,1.03,,,,
Aerodramus_vanikorensis_yorki,13.00,1.11,,,,
Aerodramus_vulcanorum,14.31,1.16,,,,
Aerodramus_whiteheadi,14.00,1.15,,,,
Aeromys_tephromelas,1108.62,3.04,,,,
Aeromys_thomasi,1434.43,3.16,,,,
Aeronautes_andecolus,17.11,1.23,,,,
Aeronautes_andecolus_andecolus,20.00,1.30,,,,
Aeronautes_andecolus_parvulus,18.00,1.26,,,,
Aeronautes_montivagus,21.21,1.33,,,,
Aeronautes_saxatalis,32.81,1.52,,,,
Aethalops_aequalis,13.90,1.14,,,,
Aethalops_alecto,15.02,1.18,,,,
Aethia_cristatella,274.72,2.44,,,,
Aethia_psittacula,284.75,2.45,,,,
Aethia_pusilla,86.88,1.94,,,,
Aethia_pygmaea,121.49,2.08,,,,
Aethomys_bocagei,79.89,1.90,,,,
Aethomys_chrysophilus,58.57,1.77,,,,
Aethomys_granti,39.94,1.60,,,,
Aethomys_hindei,110.81,2.04,,,,
Aethomys_ineptus,120.08,2.08,,,,
Aethomys_kaiseri,87.14,1.94,,,,
Aethomys_namaquensis,39.91,1.60,,,,
Aethomys_nyikae,77.01,1.89,,,,
Aethomys_silindensis,82.76,1.92,,,,
Aethomys_stannarius,82.90,1.92,,,,
Aethomys_thomasi,91.59,1.96,,,,
Aethopyga_bella,4.05,0.61,,,,
Aethopyga_boltoni,7.15,0.85,,,,
Aethopyga_boltoni_malindangensis,8.60,0.93,,,,
Aethopyga_boltoni_tibolii,7.80,0.89,,,,
Aethopyga_christinae,5.45,0.74,,,,
Aethopyga_decorosa,6.08,0.78,,,,
Aethopyga_duyvenbodei,6.03,0.78,,,,
Aethopyga_eximia,6.03,0.78,,,,
Aethopyga_flagrans,6.93,0.84,,,,
Aethopyga_gouldiae,6.28,0.80,,,,
Aethopyga_guimarasensis,6.78,0.83,,,,
Aethopyga_ignicauda,8.48,0.93,,,,
Aethopyga_jefferyi,6.08,0.78,,,,
Aethopyga_linaraborae,7.69,0.89,,,,
Aethopyga_magnifica,6.90,0.84,,,,
Aethopyga_mystacalis,6.00,0.78,,,,
