"Order","Family","Genus","Best_guess_binomial","Adult_svl_cm","Body_mass_g","Maturity_d","Max_longevity_d","Longevity_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus orientalis",NA,6.40604788292581,NA,NA,NA,NA,NA,"Other",2,FALSE,0,0,0,1,0,0,0,0,0,0,1,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus pardalis",6.071,6.49,669.68,1461,1004.4375,3.65005997070862,"Carnivore","Other",3,FALSE,0,0,1,1,0,0,0,0,0,1,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus robustus",NA,10.6707150911216,NA,NA,NA,NA,"Carnivore","Other",1,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus savignyi",NA,9.78618610477905,NA,NA,NA,5.00017267488489,NA,"Other",3,FALSE,0,0,1,0,0,0,0,0,0,1,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus schmidti",9.02,26.4,410.94,NA,NA,2.99985318119079,"Omnivore","Other",1,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus schreiberi",7.023,18.275,NA,1369.6875,584.4,2.80027059501064,"Carnivore","Other",2,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus scutellatus",7.5,10.6,228.3,2228.025,1059.225,2.7,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus senegalensis",NA,5.07912331001557,NA,NA,NA,NA,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus spinicauda",5.94,4.13047501990161,NA,1461,1004.4375,4.00036851046125,NA,"Other",2,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus taghitensis",NA,3.90870938553892,NA,NA,NA,NA,NA,"Other",2,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus tilburyi",NA,6.40604788292581,NA,NA,NA,NA,"Carnivore","Other",1,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus tristrami",NA,19.6168013841802,NA,NA,NA,4.00018425523063,"Carnivore","Other",2,FALSE,0,0,1,0,0,0,0,0,0,0,1,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus yemenicus",NA,4.0089540542447,NA,NA,NA,NA,NA,"Other",3,TRUE,0,0,0,0,0,1,0,1,0,0,1,0,0,NA
"SQUAMATA","ELAPIDAE","Acanthophis","Acanthophis antarcticus",NA,252.3,783.24,3433.35,3396.825,13.7,"Carnivore","Nocturnal",7,FALSE,1,1,1,1,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ELAPIDAE","Acanthophis","Acanthophis hawkei",NA,391.570938553892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","ELAPIDAE","Acanthophis","Acanthophis laevis",NA,317.4,288,2666.325,3396.825,14.75,"Carnivore","Nocturnal",12,TRUE,1,1,0,1,0,0,0,0,0,0,1,0,0,NA
"SQUAMATA","ELAPIDAE","Acanthophis","Acanthophis praelongus",NA,106.905487922266,NA,NA,NA,NA,NA,NA,3,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ELAPIDAE","Acanthophis","Acanthophis pyrrhus",NA,109.9,288,1278.375,3396.825,18.9,"Carnivore","Nocturnal",3,FALSE,0,1,1,0,0,0,0,1,0,0,0,0,0,NA
